buy,date,name,sell
4828253950,2010-01-04,Dealer,5034566347
18610283685,2010-01-04,Foreign_Investor,10601395088
3264971000,2010-01-04,Investment_Trust,3908228290
26703508635,2010-01-04,total,19544189725
5335403340,2010-01-05,Dealer,5191137717
30144744252,2010-01-05,Foreign_Investor,18033233048
4382285150,2010-01-05,Investment_Trust,4328674325
39862432742,2010-01-05,total,27553045090
5981309000,2010-01-06,Dealer,4767001139
33300733646,2010-01-06,Foreign_Investor,22641094333
3845489390,2010-01-06,Investment_Trust,4764700251
43127532036,2010-01-06,total,32172795723
4486965030,2010-01-07,Dealer,5175924530
35507514910,2010-01-07,Foreign_Investor,24293259860
5040931360,2010-01-07,Investment_Trust,4574668763
45035411300,2010-01-07,total,34043853153
4090844136,2010-01-08,Dealer,4232711904
28542409279,2010-01-08,Foreign_Investor,21079442849
3872524530,2010-01-08,Investment_Trust,4364996849
36505777945,2010-01-08,total,29677151602
3850094680,2010-01-11,Dealer,3906115788
24427770397,2010-01-11,Foreign_Investor,16344601748
4086109321,2010-01-11,Investment_Trust,3724756479
32363974398,2010-01-11,total,23975474015
3254573065,2010-01-12,Dealer,3557610183
22353930304,2010-01-12,Foreign_Investor,22873458448
3849387530,2010-01-12,Investment_Trust,4287280959
29457890899,2010-01-12,total,30718349590
3302002150,2010-01-13,Dealer,4616154543
18188972651,2010-01-13,Foreign_Investor,20682796577
2203951140,2010-01-13,Investment_Trust,3736593214
23694925941,2010-01-13,total,29035544334
4508581761,2010-01-14,Dealer,3117189981
27493980665,2010-01-14,Foreign_Investor,16889551560
2515512830,2010-01-14,Investment_Trust,3416032267
34518075256,2010-01-14,total,23422773808
4864119061,2010-01-15,Dealer,3460282216
29152005952,2010-01-15,Foreign_Investor,18543732144
4660644230,2010-01-15,Investment_Trust,5033502906
38676769243,2010-01-15,total,27037517266
3352995630,2010-01-18,Dealer,2745667986
16474685104,2010-01-18,Foreign_Investor,13083732987
2511244810,2010-01-18,Investment_Trust,4543899409
22338925544,2010-01-18,total,20373300382
3410771659,2010-01-19,Dealer,4827649200
15792435265,2010-01-19,Foreign_Investor,18996780485
3287308170,2010-01-19,Investment_Trust,4993603914
22490515094,2010-01-19,total,28818033599
3633156886,2010-01-20,Dealer,4790357431
24324554123,2010-01-20,Foreign_Investor,24299088965
2860204660,2010-01-20,Investment_Trust,3059937630
30817915669,2010-01-20,total,32149384026
3113874333,2010-01-21,Dealer,3918698358
23461224749,2010-01-21,Foreign_Investor,21112489844
1452372630,2010-01-21,Investment_Trust,2845707560
28027471712,2010-01-21,total,27876895762
3355103200,2010-01-22,Dealer,4579764358
18511582929,2010-01-22,Foreign_Investor,38896288684
1610142330,2010-01-22,Investment_Trust,2704111906
23476828459,2010-01-22,total,46180164948
2584970146,2010-01-25,Dealer,3611451321
14874910126,2010-01-25,Foreign_Investor,25700228145
1987721410,2010-01-25,Investment_Trust,2861533354
19447601682,2010-01-25,total,32173212820
3271671129,2010-01-26,Dealer,8212962708
19547257870,2010-01-26,Foreign_Investor,37431911427
1702412810,2010-01-26,Investment_Trust,3753905034
24521341809,2010-01-26,total,49398779169
2596263397,2010-01-27,Dealer,4234469525
17172888895,2010-01-27,Foreign_Investor,24587903252
2396948640,2010-01-27,Investment_Trust,2765148278
22166100932,2010-01-27,total,31587521055
3451101641,2010-01-28,Dealer,2976140310
19439094166,2010-01-28,Foreign_Investor,26588370666
2856083010,2010-01-28,Investment_Trust,2723414519
25746278817,2010-01-28,total,32287925495
2966056798,2010-01-29,Dealer,3467275824
21999099987,2010-01-29,Foreign_Investor,32589846863
2383963760,2010-01-29,Investment_Trust,2431698992
27349120545,2010-01-29,total,38488821679
2321878766,2010-02-01,Dealer,3633778614
17810485581,2010-02-01,Foreign_Investor,29739986712
1329765200,2010-02-01,Investment_Trust,1983724557
21462129547,2010-02-01,total,35357489883
2116464670,2010-02-02,Dealer,4018241031
23655782159,2010-02-02,Foreign_Investor,29379624552
2216638650,2010-02-02,Investment_Trust,2402579289
27988885479,2010-02-02,total,35800444872
3012608665,2010-02-03,Dealer,2242713050
16560481177,2010-02-03,Foreign_Investor,18832263127
2268551110,2010-02-03,Investment_Trust,2252054550
21841640952,2010-02-03,total,23327030727
1947675201,2010-02-04,Dealer,2000772221
15540974235,2010-02-04,Foreign_Investor,22869060933
2276850280,2010-02-04,Investment_Trust,2120993306
19765499716,2010-02-04,total,26990826460
2518594920,2010-02-05,Dealer,4805870039
14290856778,2010-02-05,Foreign_Investor,30011330323
1421246950,2010-02-05,Investment_Trust,3247700922
18230698648,2010-02-05,total,38064901284
3231117560,2010-02-06,Dealer,3389018019
2047356469,2010-02-06,Foreign_Investor,2525631592
2298902030,2010-02-06,Investment_Trust,2618388293
7577376059,2010-02-06,total,8533037904
3107476579,2010-02-08,Dealer,2562455383
14395953263,2010-02-08,Foreign_Investor,30117691252
2499395300,2010-02-08,Investment_Trust,2156103820
20002825142,2010-02-08,total,34836250455
3555830424,2010-02-09,Dealer,2469681971
20679937080,2010-02-09,Foreign_Investor,30299908786
2742816210,2010-02-09,Investment_Trust,1477198144
26978583714,2010-02-09,total,34246788901
3161497580,2010-02-10,Dealer,2968407011
15513803410,2010-02-10,Foreign_Investor,25495641620
3102476560,2010-02-10,Investment_Trust,1648311871
21777777550,2010-02-10,total,30112360502
3133892869,2010-02-22,Dealer,2444166818
28467489316,2010-02-22,Foreign_Investor,25036187231
2130761100,2010-02-22,Investment_Trust,1359109401
33732143285,2010-02-22,total,28839463450
2000150200,2010-02-23,Dealer,2287498353
24222177202,2010-02-23,Foreign_Investor,23608596621
2263043520,2010-02-23,Investment_Trust,2650742656
28485370922,2010-02-23,total,28546837630
2043898760,2010-02-24,Dealer,1998239251
20276385689,2010-02-24,Foreign_Investor,25468455332
2258613250,2010-02-24,Investment_Trust,1775532693
24578897699,2010-02-24,total,29242227276
1728179056,2010-02-25,Dealer,3572176638
22592376905,2010-02-25,Foreign_Investor,31438203724
1801497370,2010-02-25,Investment_Trust,2286138110
26122053331,2010-02-25,total,37296518472
1756674833,2010-02-26,Dealer,1747134390
18290830459,2010-02-26,Foreign_Investor,19784881500
1924798840,2010-02-26,Investment_Trust,2214147572
21972304132,2010-02-26,total,23746163462
3534156549,2010-03-01,Dealer,1804885651
27389310037,2010-03-01,Foreign_Investor,20386449753
2731066240,2010-03-01,Investment_Trust,2079573268
33654532826,2010-03-01,total,24270908672
2819078867,2010-03-02,Dealer,2172144054
21141209576,2010-03-02,Foreign_Investor,17047409473
3550348860,2010-03-02,Investment_Trust,2316570567
27510637303,2010-03-02,total,21536124094
2211044669,2010-03-03,Dealer,1692801093
15730828669,2010-03-03,Foreign_Investor,12403435399
3200803160,2010-03-03,Investment_Trust,2906248376
21142676498,2010-03-03,total,17002484868
2247034172,2010-03-04,Dealer,2965663790
15981851954,2010-03-04,Foreign_Investor,20023843169
3482705180,2010-03-04,Investment_Trust,2761080945
21711591306,2010-03-04,total,25750587904
2853449163,2010-03-05,Dealer,2131475173
24048795033,2010-03-05,Foreign_Investor,13154620805
2638308490,2010-03-05,Investment_Trust,2280762663
29540552686,2010-03-05,total,17566858641
3468835440,2010-03-08,Dealer,1988062453
26213654567,2010-03-08,Foreign_Investor,11460036328
2793812400,2010-03-08,Investment_Trust,2194436811
32476302407,2010-03-08,total,15642535592
2126283016,2010-03-09,Dealer,1580832636
20155559320,2010-03-09,Foreign_Investor,10655578412
2964421550,2010-03-09,Investment_Trust,2481081111
25246263886,2010-03-09,total,14717492159
1918077660,2010-03-10,Dealer,2147620726
18112245790,2010-03-10,Foreign_Investor,11854296210
2368380100,2010-03-10,Investment_Trust,2361902001
22398703550,2010-03-10,total,16363818937
2082776886,2010-03-11,Dealer,2068552806
19331563218,2010-03-11,Foreign_Investor,14553345382
2224351560,2010-03-11,Investment_Trust,2747345896
23638691664,2010-03-11,total,19369244084
2082122240,2010-03-12,Dealer,1583527559
19375067817,2010-03-12,Foreign_Investor,16839578091
1957003940,2010-03-12,Investment_Trust,2748747987
23414193997,2010-03-12,total,21171853637
1850891961,2010-03-15,Dealer,3197094977
12264155802,2010-03-15,Foreign_Investor,14224720842
1548638700,2010-03-15,Investment_Trust,2375784434
15663686463,2010-03-15,total,19797600253
2229057325,2010-03-16,Dealer,1933122375
12326062869,2010-03-16,Foreign_Investor,12357415674
1951825550,2010-03-16,Investment_Trust,2061266854
16506945744,2010-03-16,total,16351804903
6255961760,2010-03-17,Dealer,1870779550
36731397246,2010-03-17,Foreign_Investor,16707498170
2844025450,2010-03-17,Investment_Trust,2981639303
45831384456,2010-03-17,total,21559917023
5210194820,2010-03-18,Dealer,2682856895
31015805371,2010-03-18,Foreign_Investor,18648321445
2674426940,2010-03-18,Investment_Trust,2882130884
38900427131,2010-03-18,total,24213309224
3021141050,2010-03-19,Dealer,2538228333
20598848873,2010-03-19,Foreign_Investor,18400804234
2293139070,2010-03-19,Investment_Trust,2559412033
25913128993,2010-03-19,total,23498444600
3106014084,2010-03-22,Dealer,2904160820
10516125515,2010-03-22,Foreign_Investor,18424743116
2506948590,2010-03-22,Investment_Trust,2950054074
