date,product,role,long_oi,short_oi,net_oi,long_trade,short_trade,net_trade
2018-06-05,小型臺指,外資,1250,1846,-596,31867,32915,-1048
2018-06-05,小型臺指,投信,46,0,46,0,0,0
2018-06-05,小型臺指,自營商,20536,8722,11814,8341,7285,1056
2018-06-05,臺股期貨,外資,72646,24929,47717,43660,44337,-677
2018-06-05,臺股期貨,投信,1716,26133,-24417,53,393,-340
2018-06-05,臺股期貨,自營商,8394,10601,-2207,16010,16344,-334
2018-06-06,小型臺指,外資,1159,2773,-1614,31893,32980,-1087
2018-06-06,小型臺指,投信,46,0,46,0,0,0
2018-06-06,小型臺指,自營商,27896,9173,18723,16938,10078,6860
2018-06-06,臺股期貨,外資,78562,22750,55812,54950,46849,8101
2018-06-06,臺股期貨,投信,1688,25817,-24129,393,105,288
2018-06-06,臺股期貨,自營商,8355,14585,-6230,20806,24824,-4018
2018-06-07,小型臺指,外資,837,5208,-4371,35348,38105,-2757
2018-06-07,小型臺指,投信,46,0,46,0,0,0
2018-06-07,小型臺指,自營商,27806,9449,18357,8880,9246,-366
2018-06-07,臺股期貨,外資,76369,23852,52517,51972,55267,-3295
2018-06-07,臺股期貨,投信,1720,26020,-24300,121,292,-171
2018-06-07,臺股期貨,自營商,7732,12725,-4993,17719,16482,1237
2018-06-08,小型臺指,外資,582,8074,-7492,34865,37986,-3121
2018-06-08,小型臺指,投信,46,0,46,0,0,0
2018-06-08,小型臺指,自營商,27222,9520,17702,8047,8690,-643
2018-06-08,臺股期貨,外資,74893,23902,50991,49370,50896,-1526
2018-06-08,臺股期貨,投信,1656,26493,-24837,10,547,-537
2018-06-08,臺股期貨,自營商,8011,13416,-5405,15711,16126,-415
2018-06-11,小型臺指,外資,619,10627,-10008,32598,35110,-2512
2018-06-11,小型臺指,投信,46,0,46,0,0,0
2018-06-11,小型臺指,自營商,27127,9775,17352,7559,7909,-350
2018-06-11,臺股期貨,外資,74625,24220,50405,46731,47318,-587
2018-06-11,臺股期貨,投信,1530,26560,-25030,6,199,-193
2018-06-11,臺股期貨,自營商,7033,13766,-6733,13583,14911,-1328
2018-06-12,小型臺指,外資,673,11541,-10868,48134,48966,-832
2018-06-12,小型臺指,投信,46,0,46,0,0,0
2018-06-12,小型臺指,自營商,27570,9954,17616,11395,11059,336
2018-06-12,臺股期貨,外資,74397,24185,50212,63025,63225,-200
2018-06-12,臺股期貨,投信,1486,26617,-25131,16,117,-101
2018-06-12,臺股期貨,自營商,6976,13338,-6362,20829,20476,353
2018-06-13,小型臺指,外資,401,12033,-11632,33926,34772,-846
2018-06-13,小型臺指,投信,46,0,46,0,0,0
2018-06-13,小型臺指,自營商,27521,9925,17596,10959,9521,1438
2018-06-13,臺股期貨,外資,73295,23726,49569,44501,45143,-642
2018-06-13,臺股期貨,投信,1522,26640,-25118,49,36,13
2018-06-13,臺股期貨,自營商,7541,12508,-4967,17674,16649,1025
2018-06-14,小型臺指,外資,210,15711,-15501,31789,35658,-3869
2018-06-14,小型臺指,投信,46,0,46,0,0,0
2018-06-14,小型臺指,自營商,23059,11424,11635,8752,14525,-5773
2018-06-14,臺股期貨,外資,71217,27606,43611,56504,62462,-5958
2018-06-14,臺股期貨,投信,1609,27296,-25687,3216,3785,-569
2018-06-14,臺股期貨,自營商,6653,11913,-5260,19396,19736,-340
2018-06-15,小型臺指,外資,1120,15293,-14173,40581,39265,1316
2018-06-15,小型臺指,投信,34,0,34,14,14,0
2018-06-15,小型臺指,自營商,23088,11494,11594,8922,8203,719
2018-06-15,臺股期貨,外資,76582,31625,44957,78011,76662,1349
2018-06-15,臺股期貨,投信,1668,27315,-25647,13207,13199,8
2018-06-15,臺股期貨,自營商,7525,13139,-5614,17179,17723,-544
